comparator,outcome,paired_cases,estimate,ci_lower,ci_upper,p_value,holm_p_value
ungrounded-model,task_success,96,0.9895833333333334,0.96875,1,0.00009999000099990002,0.0006999300069993001
ordinary-rag,task_success,96,0.8666666666666667,0.7958333333333334,0.927135416666666,0.00009999000099990002,0.0006999300069993001
ablation-access-enforcement,task_success,96,0.13541666666666674,0.07291666666666663,0.20833333333333337,0.00019998000199980003,0.0007999200079992001
ablation-source-status-integrity,task_success,96,0.49791666666666673,0.39583333333333337,0.6020833333333333,0.00009999000099990002,0.0006999300069993001
ablation-conflict-precondition,task_success,96,0.125,0.0625,0.19791666666666663,0.0004999500049995,0.0014998500149985001
ablation-deterministic-rules,task_success,96,0.07291666666666674,0.02083333333333337,0.125,0.014898510148985102,0.029797020297970205
ablation-output-validation,task_success,96,0.002083333333333326,0,0.006250000000000089,1,1
ungrounded-model,required_record_coverage,23,0.9565217391304348,0.8695652173913043,1,0.00009999000099990002,0.0006999300069993001
ordinary-rag,required_record_coverage,23,0.010869565217391353,-0.10217391304347834,0.13260869565217392,0.7421257874212579,1
ablation-access-enforcement,required_record_coverage,23,0,0,0,1,1
ablation-source-status-integrity,required_record_coverage,23,-0.008695652173912993,-0.026086956521739202,0,1,1
ablation-conflict-precondition,required_record_coverage,23,0,0,0,1,1
ablation-deterministic-rules,required_record_coverage,23,0.07826086956521738,0,0.19999999999999996,0.49375062493750627,1
ablation-output-validation,required_record_coverage,23,-0.04347826086956519,-0.13043478260869568,0,1,1
ungrounded-model,unsupported_claim_response_rate,96,-0.052083333333333336,-0.10416666666666667,-0.010416666666666666,0.06469353064693531,0.3234676532346765
ordinary-rag,unsupported_claim_response_rate,96,-0.42291666666666666,-0.5208333333333334,-0.32708333333333334,0.00009999000099990002,0.0006999300069993001
ablation-access-enforcement,unsupported_claim_response_rate,96,0,0,0,1,1
ablation-source-status-integrity,unsupported_claim_response_rate,96,-0.25,-0.34375,-0.16666666666666666,0.00009999000099990002,0.0006999300069993001
ablation-conflict-precondition,unsupported_claim_response_rate,96,0,0,0,1,1
ablation-deterministic-rules,unsupported_claim_response_rate,96,0,0,0,1,1
ablation-output-validation,unsupported_claim_response_rate,96,0,0,0,1,1
ungrounded-model,released_response_validation_failure_event,96,-1,-1,-1,0.00009999000099990002,0.0006999300069993001
ordinary-rag,released_response_validation_failure_event,96,-0.6458333333333334,-0.7375520833333333,-0.5520833333333334,0.00009999000099990002,0.0006999300069993001
ablation-access-enforcement,released_response_validation_failure_event,96,0,0,0,1,1
ablation-source-status-integrity,released_response_validation_failure_event,96,-0.25,-0.3333333333333333,-0.16666666666666666,0.00009999000099990002,0.0006999300069993001
ablation-conflict-precondition,released_response_validation_failure_event,96,0,0,0,1,1
ablation-deterministic-rules,released_response_validation_failure_event,96,0,0,0,1,1
ablation-output-validation,released_response_validation_failure_event,96,-0.0125,-0.035416666666666666,0,0.5016498350164984,1
ungrounded-model,authorization_accuracy,13,1,1,1,0.000244140625,0.001708984375
ordinary-rag,authorization_accuracy,13,1,1,1,0.000244140625,0.001708984375
ablation-access-enforcement,authorization_accuracy,13,1,1,1,0.000244140625,0.001708984375
ablation-source-status-integrity,authorization_accuracy,13,0,0,0,1,1
ablation-conflict-precondition,authorization_accuracy,13,0,0,0,1,1
ablation-deterministic-rules,authorization_accuracy,13,0,0,0,1,1
ablation-output-validation,authorization_accuracy,13,0,0,0,1,1
ungrounded-model,prohibited_disclosure_event,96,-0.125,-0.19791666666666666,-0.0625,0.0005999400059994001,0.0029997000299970002
ordinary-rag,prohibited_disclosure_event,96,-0.13541666666666666,-0.20833333333333334,-0.07291666666666667,0.00019998000199980003,0.0013998600139986002
ablation-access-enforcement,prohibited_disclosure_event,96,-0.13125,-0.19791666666666666,-0.06875,0.00019998000199980003,0.0013998600139986002
ablation-source-status-integrity,prohibited_disclosure_event,96,0,0,0,1,1
ablation-conflict-precondition,prohibited_disclosure_event,96,0,0,0,1,1
ablation-deterministic-rules,prohibited_disclosure_event,96,0,0,0,1,1
ablation-output-validation,prohibited_disclosure_event,96,0,0,0,1,1
ungrounded-model,released_typed_decision_fidelity,6,1,1,1,0.03125,0.21875
ordinary-rag,released_typed_decision_fidelity,6,0.16666666666666663,0,0.5,1,1
ablation-access-enforcement,released_typed_decision_fidelity,6,0,0,0,1,1
ablation-source-status-integrity,released_typed_decision_fidelity,6,0,0,0,1,1
ablation-conflict-precondition,released_typed_decision_fidelity,6,0,0,0,1,1
ablation-deterministic-rules,released_typed_decision_fidelity,6,1,1,1,0.03125,0.21875
ablation-output-validation,released_typed_decision_fidelity,6,0,0,0,1,1
ungrounded-model,appropriate_abstention_f1,96,0.2538946512100875,0.1672817820261942,0.3459119496855346,0.00009999000099990002,0.0006999300069993001
ordinary-rag,appropriate_abstention_f1,96,0.7621565151323287,0.6459067937480035,0.8781725888324873,0.00009999000099990002,0.0006999300069993001
ablation-access-enforcement,appropriate_abstention_f1,96,0.09299533547206207,0.04761904761904767,0.1499972676102519,0.00039996000399960006,0.0015998400159984002
ablation-source-status-integrity,appropriate_abstention_f1,96,0.2986987127680757,0.21029303150921672,0.40077354988440145,0.00009999000099990002,0.0006999300069993001
ablation-conflict-precondition,appropriate_abstention_f1,96,0.1610738255033557,0.08275862068965512,0.25,0.00039996000399960006,0.0015998400159984002
ablation-deterministic-rules,appropriate_abstention_f1,96,0.01865574681230453,0,0.051615684093437135,0.5065493450654934,1
ablation-output-validation,appropriate_abstention_f1,96,-0.006711409395973145,-0.021590610723100322,0,1,1
