stratum,condition,observations,task_success,appropriate_outcome_exact,prohibited_disclosure_count
current-state-history,structured-record-access,8,1,1,0
current-state-history,deterministic-query-rules,8,1,1,0
current-state-history,equivalent-non-chain-records,8,1,1,0
current-state-history,ungrounded-model,40,0,0.625,0
current-state-history,ordinary-rag,40,0.25,0.625,5
current-state-history,governed-evllm,40,0.875,1,0
current-state-history,ablation-access-enforcement,40,0.875,0.875,5
current-state-history,ablation-provenance-metadata,40,0.375,0.75,0
current-state-history,ablation-conflict-precondition,40,0.75,0.875,0
current-state-history,ablation-deterministic-rules,40,0.875,1,0
current-state-history,ablation-output-validation,40,0.875,1,0
multi-record-attribution,structured-record-access,8,1,1,0
multi-record-attribution,deterministic-query-rules,8,1,1,0
multi-record-attribution,equivalent-non-chain-records,8,1,1,0
multi-record-attribution,ungrounded-model,40,0,0.625,0
multi-record-attribution,ordinary-rag,40,0.25,0.5,5
multi-record-attribution,governed-evllm,40,0.875,1,0
multi-record-attribution,ablation-access-enforcement,40,0.875,0.875,5
multi-record-attribution,ablation-provenance-metadata,40,0.375,0.75,0
multi-record-attribution,ablation-conflict-precondition,40,0.75,0.875,0
multi-record-attribution,ablation-deterministic-rules,40,0.875,1,0
multi-record-attribution,ablation-output-validation,40,0.875,1,0
marketplace-eligibility,structured-record-access,8,1,1,0
marketplace-eligibility,deterministic-query-rules,8,1,1,0
marketplace-eligibility,equivalent-non-chain-records,8,1,1,0
marketplace-eligibility,ungrounded-model,40,0,0.625,0
marketplace-eligibility,ordinary-rag,40,0.25,0.5,5
marketplace-eligibility,governed-evllm,40,0.875,1,0
marketplace-eligibility,ablation-access-enforcement,40,0.875,0.875,5
marketplace-eligibility,ablation-provenance-metadata,40,0.375,0.75,0
marketplace-eligibility,ablation-conflict-precondition,40,0.75,0.875,0
marketplace-eligibility,ablation-deterministic-rules,40,0.875,1,0
marketplace-eligibility,ablation-output-validation,40,0.875,1,0
route-assessment,structured-record-access,8,1,1,0
route-assessment,deterministic-query-rules,8,1,1,0
route-assessment,equivalent-non-chain-records,8,1,1,0
route-assessment,ungrounded-model,40,0,0.625,0
route-assessment,ordinary-rag,40,0.25,0.5,5
route-assessment,governed-evllm,40,0.875,1,0
route-assessment,ablation-access-enforcement,40,0.875,0.875,4
route-assessment,ablation-provenance-metadata,40,0.375,0.75,0
route-assessment,ablation-conflict-precondition,40,0.75,0.875,0
route-assessment,ablation-deterministic-rules,40,0.875,1,0
route-assessment,ablation-output-validation,40,0.875,1,0
defective-evidence,structured-record-access,8,1,1,0
defective-evidence,deterministic-query-rules,8,1,1,0
defective-evidence,equivalent-non-chain-records,8,1,1,0
defective-evidence,ungrounded-model,40,0,0.625,0
defective-evidence,ordinary-rag,40,0.25,0.55,5
defective-evidence,governed-evllm,40,0.875,1,0
defective-evidence,ablation-access-enforcement,40,0.875,0.875,5
defective-evidence,ablation-provenance-metadata,40,0.375,0.75,0
defective-evidence,ablation-conflict-precondition,40,0.75,0.875,0
defective-evidence,ablation-deterministic-rules,40,0.875,1,0
defective-evidence,ablation-output-validation,40,0.875,1,0
actor-purpose-access,structured-record-access,8,1,1,0
actor-purpose-access,deterministic-query-rules,8,1,1,0
actor-purpose-access,equivalent-non-chain-records,8,1,1,0
actor-purpose-access,ungrounded-model,40,0,0.625,0
actor-purpose-access,ordinary-rag,40,0.25,0.55,5
actor-purpose-access,governed-evllm,40,0.875,1,0
actor-purpose-access,ablation-access-enforcement,40,0.875,0.875,5
actor-purpose-access,ablation-provenance-metadata,40,0.375,0.75,0
actor-purpose-access,ablation-conflict-precondition,40,0.75,0.875,0
actor-purpose-access,ablation-deterministic-rules,40,0.875,1,0
actor-purpose-access,ablation-output-validation,40,0.875,1,0
repository-replica-failure,structured-record-access,8,1,1,0
repository-replica-failure,deterministic-query-rules,8,1,1,0
repository-replica-failure,equivalent-non-chain-records,8,1,1,0
